Name,detail
หมาป่ากับนกกระเรียน,ณ<_>ป่าแสนสุข<_>หมาป่า<_>และ<_>นกกระเรียน<_>เป็นเพื่อนรักกัน<_>พวกมันชอบคุยกันถึงเรื่องเล่าต่าง<_>ๆ<_>ตั้งแต่สมัยโบราณ<_>และมันทั้งสองก็สงสัยว่าทำไมต้องเป็นแบบนั้น<_>ทำไมต้องเป็นแบบนี้<_>อยู่มาวันหนึ่งหมาป่าเก็บความสงสัยมาถามเพื่อนนกกระเรียนถึงเรื่องตำนานของนกกระเรียนว่า<_>ทำไมเค้าต้องพับนกกระเรียนเป็นพันตัว<_>ซึ่งนกกระเรียนก็เล่าว่า<_>เป็นเรื่องเล่าของเด็กชาวญี่ปุ่นอายุ<_><ตัวเลข><_>ขวบ<_>ที่ป่วยเป็นโรคมะเร็งเม็ดเลือดขาว<_>ซึ่งเกิดจากผลกระทบของระเบิดนิวเคลียร์ฮิโรชิมา<_>มีตำนานเล่าว่าหากใครพับนกกระเรียนได้หนึ่งพันตัวก็จะสมหวังในสิ่งที่ต้องการ<_>เด็กน้อยคนนี้จึงพับนกกระเรียนจำนวนหนึ่งพันสามร้อยตัว<_>เพื่อหวังว่าเธอจะได้กลับมาวิ่งเล่นอีกครั้งซึ่งเธอก็สามารถมีชีวิตอยู่ได้<_>แต่จะอยู่ได้นานแค่ไหนและเกิดอะไรขึ้นอีกติดตามได้ในรายการ<ชื่อรายการ>
หมู่บ้านตุ่นแสนสุข,นานมาแล้วที่หมู่บ้านตุ่นแสนสุข<_>ตุ่นทุกตัวที่อาศัยอยู่ในชุมชนแห่งนี้ล้วนรู้จักกันและอยู่เป็นครอบครัวใหญ่<_>โดยมีลุงตุ่น<_>หัวหน้าหมู่บ้านเป็นผู้ดูแล<_>ตุ่นทุกตัวอยู่ในกฎระเบียบของหมู่บ้านและที่สำคัญพวกมันเชื่อฟังลุงตุ่นมากอยู่มาวันหนึ่งลุงตุ่นประกาศกับสมาชิกว่าพวกเราควรอยู่ในกฎระเบียบอย่างเคร่งครัดจะได้ปลอดภัยและอย่าไว้ใจสัตว์แปลกหน้าเป็นอันขาด<_>เพราะมันอาจจะนำความเดือดร้อนมาให้<_>ตุ่นทุกตัวในหมู่บ้านรู้สึกว่าการได้ทำเช่นนี้จะทำให้พวกมันจะปลอดภัยจนกระทั่งวันหนึ่งมีตุ่นดำตัวหนึ่งพร้อมสัมภาระกำลังมุ่งหน้ามายังหมู่บ้านตุ่นแสนสุขอย่างรีบร้อน<_>ตุ่นดำจะมาสร้างความเดือดร้อนให้หมู่บ้านตุ่นหรรษาหรือไม่ติดตามได้ในรายการ<ชื่อรายการ>
แพะเจ้าปัญญา,ณ<_>หมู่บ้านหรรษา<_>ชาวบ้านที่อาศัยอยู่ที่นี่เป็นเกษตรกรปลูกพืชและเลี้ยงสัตว์<_>เด็กชายตะวันช่วยพ่อกับแม่เลี้ยงแพะ<_>ตะวันชอบอ่านหนังสือให้แพะฟังทุกวันเพราะเชื่อว่าแพะจะจดจำและเป็นแพะที่แสนฉลาดได้<_>อยู่มาวันหนึ่งพ่อบอกให้ตะวันเลือกแพะมาหนึ่งตัวเพื่อทำอาหารเลี้ยงชาวบ้านในงานประจำปีของหมู่บ้าน<_>ด้วยความรู้สึกผูกพันกับแพะที่เลี้ยงทุกตัวทำให้ตะวันไม่อยากเลือกแพะตัวไหนเพื่อส่งไปฆ่า<_>ตะวันจึงคิดหาวิธีที่ไม่ต้องส่งแพะไปถูกฆ่า<_>แพะใหญ่หัวฝูงจึงเสนอว่าให้ตะวันไปบอกพ่อของเค้าส่งการแสดงจากแพะไปแทนพ่อของตะวันยอมเชื่อตามข้อเสนอของตะวัน<_>พอถึงวันงานประจำปีของหมู่บ้าน<_>จะเกิดอะไรขึ้นติดตามได้ในรายการ<ชื่อรายการ>
พรานป่ากับเสือ,ณ<_>กระท่อมไม้ชายป่า<_>บ้านพักของพรานป่าฝีมือดี<_>ทุกครั้งที่เค้าล่าสัตว์มาได้ก็จะนำมากินเป็นอาหารและถ้าเหลือก็จะนำไปขายในหมู่บ้าน<_>หลายวันที่ผ่านมาพรานป่าได้แต่สัตว์ตัวเล็ก<_>ๆ<_>อย่างกระต่าย<_>กวาง<_>นก<_>ทำให้เค้าไม่สามารถนำไปขายได้<_>วันนี้เค้าจึงตั้งใจว่าจะต้องล่าสัตว์ตัวใหญ่ให้ได้<_>ดูเหมือนโชคจะเข้าข้าง<_>พอเข้าป่ามาได้ไม่นานเค้าก็เห็นเสือนอนเล่นอยู่ตรงเนินเขา<_>พรานป่าจึงส่องปืนเล็งไปที่เสือตัวหนึ่งแต่ก่อนที่เขาจะลั่นไกไปยังเสือตัวนั้นก็มีลูกเสือตัวเล็กวิ่งเข้ามาขวางไว้<_>และขอให้พรานป่าไว้ชีวิตแม่ของมันและให้นำตัวของมันไปแทน<_>พรานป่าตกใจกับสิ่งที่ได้ยิน<_>ที่ลูกเสือพูดได้และสิ่งที่มันพูดคือความห่วงใยต่อแม่ของมัน<_>พรานป่าจะยอมไว้ชีวิตเสือสองแม่ลูกหรือไม่และ<_>เรื่องราวจะเป็นอย่างไรติดตามได้ในรายการ<ชื่อรายการ>
เกือบไปแล้วสินะ,ณ<_>หมู่บ้านแห่งหนึ่ง<_>มีครอบครัวกระต่ายที่น่ารัก<_>ที่มีคุณแม่และลูกกระต่าย<_><ตัวเลข><_>ตัว<_>ทั้งสามอยู่ร่วมกันอย่างมีความสุขร่วมกับครอบครัวเพื่อน<_>ๆ<_>วันหนึ่งแม่กระต่ายจะเข้าไปซื้อของในเมืองจึงฝากฝังให้ทั้งสามดูแลกัน<_>และฝากไปเก็บผลไม้เอามาเป็นอาหาร<_>และห้ามไม่ให้ทั้งสามข้ามไปยังฟาร์มของเจ้าหมาป่า<_>ทั้งสามช่วยกันเก็บผลไม้<_>แต่เจ้ากระต่ายฟันนี่รู้สึกเบื่อและสงสัยว่าในฟาร์มของเจ้าหมาป่ามีอะไรจึงไม่ฟังคำของแม่แอบเข้าไปในฟาร์มของเจ้าหมาป่า<_>เจ้ากระต่ายฟันนี่จะเจอกับอะไร
ของขวัญจากช้างเบิ้ม,ณ<_>ป่าแสนสุข<_>สัตว์ทุกตัวอาศัยอยู่ร่วมกันอย่างมีความสุข<_>โดยมีช้างเบิ้มเป็นผู้ดูแลความเรียบร้อยของป่า<_>ในทุก<_>ๆ<_>ปี<_>ช้างเบิ้มจะจัดงานประจำปีของป่าตรงกับวันเกิดของมัน<_>นอกจากจะฉลองครบรอบวันเกิดแล้วยังจะเป็นการสังสรรค์ของบรรดาสมาชิกในป่าอีกด้วย<_>วันนี้ช้างเบิ้มประกาศให้สมาชิกในป่ามาประชุมเพื่อเตรียมการจัดงานเพราะปีนี้ช้างเบิ้มตั้งใจว่าจะจัดให้ใหญ่กว่าทุกปีและจะมีการแข่งขันร้องเพลงด้วย<_>หากใครร้องชนะจะได้ของขวัญจากช้างเบิ้ม<_>บรรดาสัตว์น้อยใหญ่ก็ต่างตื่นเต้นและเตรียมซ้อมร้องเพลงกันเต็มที่<_>ในขณะที่ช้างเบิ้มยังคิดไม่ออกว่าจะหาของรางวัลอะไรให้ผู้ชนะ<_>มันเดินคิดไปวนไปวนมาจนเริ่มเวียนหัว<_>ช้างเบิ้มจะหาของรางวัลให้ผู้ชนะการประกวดได้หรือไม่ติตตามได้ในรายการ<ชื่อรายการ>
สามสีอย่าจับปูเสฉวน,คุณครูตาโตพาเด็ก<_>ๆ<_>ไปเที่ยวทะเล<_>สามสีดันแอบเก็บเอาปูเสฉวนจากชายหาดมาเลี้ยง<_>สุดท้ายก็โดนจับได้<_>ครูตาโตเลยบอกให้เอาไปปล่อยในวันรุ่งขึ้น<_>และอธิบายว่า<_>การเก็บปูเสฉวนมาเลี้ยง<_>ทำให้ตัดวงจรธรรมชาติ<_>ถ้าหยิบมาจากพื้นที่อุทยานยังผิดกฎหมายอีกด้วย
ลุงจระเข้ขี้บ่น,ณ<_>ป่าแสนสุข<_>วันนี้ฝนตกลงมาอย่างหนัก<_>ทำให้มีน้ำเต็มบึงใหญ่<_>เด็ก<_>ๆ<_>ก็ชอบออกมากระโดดโลดเต้นรับน้ำฝน<_>และว่ายน้ำในบึงอย่างสนุกสนานจนถึงใกล้เวลาค่ำ<_>เด็ก<_>ๆ<_>ก็เลิกเล่นและรีบกลับบ้านเพราะกลัวพ่อแม่จะเป็นห่วง<_>แต่สามสหายจอมซนอย่าง<_>หมีอ้วน<_>หมูน้อย<_>และ<_>ลิงจ๋อ<_>ทั้งสามยังคงว่ายน้ำเล่นกันอย่างมีความสุข<_>แต่อยู่<_>ๆ<_>ลิงจ๋อก็รู้สึกเจ็บที่ขา<_>แต่หมีอ้วนและหมูน้อยไม่สนใจ<_>ยังชักชวนให้เล่นน้ำต่อทั้งสามยังคงว่ายน้ำข้ามไปอีกฝั่ง<_>หมูน้อยว่ายไปกลับได้อย่างว่องไว<_>หมีอ้วนว่ายตามมาติด<_>ๆ<_>แต่พอหันไปมองก็ไม่เห็นลิงจ๋อว่ายตามมา<_>แต่กลับได้ยินเสียงของลิงจ๋อ<_>ลิงจ๋อเป็นอะไร<_>หมีอ้วนและหมูน้อยจะทำอย่างไรติดตามได้ในรายการ<ชื่อรายการ>
สามเกลอนักสำรวจ,ณ<_>ท้องทะเลที่กว้างใหญ่<_>หลังจากมรสุมผ่านไปไม่นาน<_>โลมา<_>วาฬ<_>และ<_>ฉลาม<_>สามเกลอ<_>จึงว่ายน้ำออกสำรวจท้องทะเล<_>แต่ว่ายน้ำมาได้ไม่นานทั้งสามก็เห็นขยะที่ติดอยู่ตามชายหาดเต็มไปหมด<_>พอว่ายต่อไปก็มีคราบดำ<_>ๆ<_>ลอยเต็มไปหมด<_>ขณะที่ว่ายน้ำผ่านขยะ<_>วาฬตัวใหญ่ก็ว่ายครูดเข้ากับขอบเหล็กที่เป็นเศษขยะชิ้นใหญ่<_>เกิดเป็นรอยขีดข่วนยาว<_>ๆ<_>ทั้งตัว<_>ส่วนฉลามและโลมาก็ชนโน่นชนนี่<_>จนเกิดแผลเต็มตัวไปหมด<_>ทั้งสามจึงชวนกันกลับบ้าน<_>เมื่อถึงบ้านด้วยความเหนื่อยพวกมันจึงนอนพักโดยไม่ได้ทำความสะอาดแผลรอบ<_>ๆ<_>ตัว<_>วันรุ่งขึ้นทั้งสามก็ว่ายน้ำออกไปสำรวจท้องทะเลเหมือนทุกวัน<_>และเมื่อกลับถึงบ้านก็พักผ่อนโดยไม่ได้ทำความสะอาดแผลรอบๆ<_>ตัวเช่นเคย<_>ในที่สุดพวกมันก็รู้สึกไม่สบายตัว<_>ปวดหัว<_>คันยุบยิบและปวดแสบตามตัวมาก<_>เกิดอะไรขึ้นทั้งสามติดตามได้ในรายการ<ชื่อรายการ>
ฮูกน้อยติดจอ,เช้าวันนี้เปิดเรียนวันแรก<_>ฮูกน้อยตื่นแต่เช้าเพื่อเตรียมตัวไปโรงเรียน<_>ล้างหน้า<_>แปรงฟัน<_>อาบน้ำ<_>แต่งตัว<_>ฮูกน้อยเก่งแล้วแต่งตัวเองได้แล้ว<_>แต่เอ<_>ทำไมฮูกน้อยยังไม่ลงมากินอาหารเช้า<_>แม่ฮูกจึงร้องเรียกเพราะกลัวฮูกน้อยไปโรงเรียนสาย<_>แต่ฮูกน้อยตอบแม่ว่า<_>ครับแม่<_>แป๊บนึงครับ<_>ฮึ<_>ฮึ<_>การ์ตูนเรื่องนี้สนุกจังเลย<_>ไม่ว่าจะดูจากจอโทรศัพท์มือถือหรือจอทีวี<_>ก็สนุ้กสนุก<_>ฮูกน้อยแต่งตัวเสร็จแล้วมานั่งดูการ์ตูนอยู่นี่เอง<_>กว่าจะได้มากินอาหารเช้า<_>เกือบไปโรงเรียนสาย<_>ตอนเย็นฮูกน้อยกลับจากโรงเรียน<_>รีบอาบน้ำแต่งตัวมารอกินอาหารเย็น<_>ฮูกน้อยก็เปิดทีวีดูการ์ตูนเรื่องโปรด<_>ก่อนนอน<_>ระหว่างรอแม่ฮูก<_>ฮูกน้อยก็หยิบโทรศัพท์มือถือมาดูการ์ตูนต่อ<_>ฮูกน้อยทำแบบนี้ทุกวัน<_>หลังจากนั้นจะเกิดอะไรขึ้นกับฮูกน้อยติดตามได้ในรายการ<ชื่อรายการ>
